,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total
4,1996,45,46.1141129699059,60.05670298959340,0.9192642257986750,0.05181226481007070,0.02708489105164880,0.0018386183396050600,0.6321987015268700,0.08060502800828600,0.28658748350350800,0.0006087869613358990,0.43257786548668200,0.08192883321280170,0.3215294035930690,0.1639638977074470,0.20813976768035800,0.023926553326060600,0.586351731774185,0.1815819472193960,0.14002508692578900,0.03116253794703960,40.46427008257710,42.835059656483500,244749
5,1996,51,59.15577540744370,95.15207133208550,0.7443378339905630,0.15959463797876300,0.09538909786960810,0.0006784301610665890,0.503552672227371,0.1400564550812600,0.35548226086851200,0.000908611822857039,0.5435921665546050,0.05385645144681290,0.16109081878040100,0.24146056321818200,0.12268076832215700,0.05664286103690780,0.5939110893044270,0.22676528133650700,0.09047350790795160,0.022678951098511700,62.68970942688810,64.15357905982910,330174
0,1997,1,47.04210569166080,59.51489440533530,0.8640283438310490,0.09620229714709150,0.03523064097814010,0.004538718043719900,0.6550250092626900,0.10228325305668800,0.24184883290107400,0.0008429047795479810,0.49545665061133800,0.06345405705816970,0.2867914042237870,0.1542978881067060,0.1601426454242310,0.022536124490552100,0.6638384586884030,0.15348277139681400,0.028195628010374200,0.01043442015561320,55.853482260184000,59.154016866400400,215920
1,1997,13,54.89181400602270,80.33784779693370,0.8445027042482670,0.11409994643856700,0.03900722072545540,0.002390128587709870,0.5618614410038940,0.10406623898064100,0.3331903686073630,0.0008819514081018710,0.43638069694297100,0.07320398046014510,0.24452606186546800,0.2458892607314160,0.17256647859757600,0.0428370645113224,0.5225602364757380,0.26203622041536300,0.19009073226129900,0.04758107710832700,56.75290241938900,61.48929327126530,496626
2,1997,27,59.067274780145000,77.95811835885230,0.8638619209904810,0.10883995284145400,0.0241099961712113,0.00318812999685357,0.4170915611222520,0.15448214685110600,0.42677346838974800,0.0016528236368943600,0.5787233074668960,0.06518417989999660,0.1620980245724840,0.19399448806062400,0.017267457949664700,0.04154804371642700,0.6814826889469310,0.2597018093869770,0.1457100507598820,0.0382423964426383,60.4775867003148,65.58534892942110,263791
3,1997,37,51.91906330533450,82.98913332012310,0.9027550856360920,0.05995461156246140,0.034901240891467800,0.0023890619099783500,0.5592517263682900,0.08314234546807290,0.3566731097809470,0.0009328183826910780,0.44267746916465100,0.10055744777899500,0.2843600566794660,0.17240502637688900,0.15551334921056300,0.046519409725986900,0.5756741902799950,0.2222930507834550,0.21248256807330900,0.04772328755855820,110.78485901552800,83.71130870774410,534938
4,1997,45,52.47543083425390,90.92462095106820,0.933567035996395,0.04413733234374170,0.020373880082701600,0.0019217515771616400,0.6074093463393950,0.07183043524359860,0.32014393256640000,0.0006162858506070080,0.37256136351587800,0.11096127339235500,0.35306552510205200,0.16341183798971500,0.2231120447436780,0.0240252080793087,0.538391957800986,0.21447078937602700,0.19303994592588700,0.04330236441711290,203.96829783216900,109.91361236513900,301808
5,1997,51,60.99443881943380,94.84100599784050,0.7802762211766070,0.14296560765243500,0.07585967733036990,0.000898493840588277,0.506579759718577,0.1258521898816980,0.36671684570864100,0.0008512046910836310,0.5082191169014050,0.058084211466567900,0.18717570808933400,0.2465209635426930,0.11278724874355400,0.057046477352438100,0.5530439762818640,0.2771222976221440,0.14690111576121100,0.031510336619929200,59.72741254739250,65.41687510421880,380637
0,1998,1,50.964249526852700,68.13324704274980,0.8830076190662970,0.07443870263415080,0.03968059409759330,0.0028730842019591900,0.5502822421169960,0.08233559846115130,0.3667447857934320,0.0006373736284209800,0.5067741376661670,0.05248363257208040,0.2684781152044660,0.17226411455728700,0.15374432492327000,0.016673040402950900,0.6571518223982900,0.17243081227548900,0.061295731557839200,0.018715904596607900,57.34570468725000,60.51728955640940,305943
1,1998,13,59.23044102368420,96.08920946717210,0.8663517184688070,0.08651207492664440,0.0447926835817073,0.0023435230228417800,0.464159381596322,0.05815296788877770,0.477004696684507,0.0006829538303933730,0.46641753539036500,0.06622724462552510,0.20950985670361900,0.2578453632804920,0.15350351184222700,0.042464306712362200,0.5169974265308290,0.2870347549145830,0.19771926466801700,0.041650545192679700,84.89421637243640,72.30080333234160,726257
2,1998,27,62.559077194176400,89.16084579799050,0.8919078017058430,0.07827939743078410,0.026466379017999000,0.003346421845373560,0.3069110329544700,0.10247430464169400,0.5893733510501030,0.001241311353733210,0.5821536965271010,0.06298482059638400,0.1373312659029690,0.2175302169735460,0.015520657596420200,0.03813299947318920,0.6757596633529480,0.27058667957744200,0.16513280111931300,0.037736291720965200,68.083888716677,68.87085287966990,468859
3,1998,37,54.24502757176690,83.27001881158630,0.9192629116466370,0.04062691711447070,0.038029187232558600,0.002080984006333320,0.455564945792594,0.04785881382638870,0.49584185030661100,0.000734390074406315,0.45465873135069200,0.10310607545508000,0.25181815636272,0.19041703683150800,0.130231415603689,0.04385594245029190,0.5476615339970420,0.27825110794897700,0.24397787411255900,0.051764954447451000,68.8665084250613,60.08588429101820,785686
4,1998,45,51.348297345530900,73.78921599843250,0.9445100296357980,0.02728452815400820,0.026130936344265100,0.002074505865928630,0.49639961791863600,0.04805652844791690,0.4550564549707320,0.00048739866271522700,0.3964632981459260,0.10019838840040200,0.3158294349604450,0.18750887849322800,0.18120943447059700,0.02552352494550440,0.5075289622572190,0.2857380783266800,0.25019471454113500,0.049097455240147900,63.0417123502232,56.784745086301500,408290
