,year,state_code,county_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,elapsed_time,prime,prime_originated,prime_amount,state,population,sthpi,mh_income
114,1990,13,12,169.645176498437,98.0,1,2,0,0,2,0,1,0,0,0,0,3,0,0,3,0,0,0,0.0,0.0,3,0,3,0,98.0,GA,6512602,160.07999999999998,27561
115,1990,13,13,52213.583534703,46711.0,584,278,50,0,575,100,227,3,532,12,118,250,31,18,657,206,0,0,0.0,0.0,912,0,912,532,46711.0,GA,6512602,160.07999999999998,27561
116,1990,13,15,17623.2912958999,15077.0,141,76,25,0,149,53,29,1,126,0,16,100,9,4,158,71,0,0,0.0,0.0,242,0,242,126,15077.0,GA,6512602,160.07999999999998,27561
117,1990,13,17,8066.87105899062,6182.0,202,22,4,0,96,72,58,1,191,0,21,16,30,1,182,15,0,0,0.0,0.0,228,0,228,191,6182.0,GA,6512602,160.07999999999998,27561
118,1990,13,19,1557.2258824921798,1255.0,16,20,1,0,25,5,7,0,15,0,4,18,1,0,21,15,0,0,0.0,0.0,37,0,37,15,1255.0,GA,6512602,160.07999999999998,27561
119,1990,13,21,141750.91013029,136067.912638312,1765,585,213,0,1694,532,309,21,1348,21,269,925,461,43,1621,438,2,0,68.0,0.0,2563,0,2561,1348,135999.912638312,GA,6512602,160.07999999999998,27561
120,1990,13,22,204.0,126.0,2,1,0,0,3,0,0,0,1,0,0,2,0,0,3,0,0,0,0.0,0.0,3,0,3,1,126.0,GA,6512602,160.07999999999998,27561
121,1990,13,23,2319.87105899062,2383.0,34,18,5,0,36,13,7,1,37,2,8,10,8,1,38,10,0,0,0.0,0.0,57,0,57,37,2383.0,GA,6512602,160.07999999999998,27561
122,1990,13,25,552.93552949531,347.0,6,9,0,0,12,2,0,1,4,0,3,8,0,0,3,12,0,0,0.0,0.0,15,0,15,4,347.0,GA,6512602,160.07999999999998,27561
123,1990,13,26,333.290352996873,383.0,2,6,0,0,6,0,2,0,0,0,0,8,0,0,8,0,0,0,0.0,0.0,8,0,8,0,383.0,GA,6512602,160.07999999999998,27561
124,1990,13,27,484.290352996874,670.0,9,3,2,0,9,2,1,0,8,0,2,4,3,1,7,3,0,0,0.0,0.0,14,0,14,8,670.0,GA,6512602,160.07999999999998,27561
125,1990,13,29,14945.839059463999,12620.0,87,45,59,0,148,8,32,0,125,0,21,45,7,5,162,17,0,0,0.0,0.0,191,0,191,125,12620.0,GA,6512602,160.07999999999998,27561
126,1990,13,31,11450.678118928101,13682.0,129,86,15,0,185,4,40,0,139,2,11,78,10,2,154,64,0,0,0.0,0.0,230,0,230,139,13682.0,GA,6512602,160.07999999999998,27561
127,1990,13,33,2642.93552949531,4484.0,37,9,3,0,43,2,4,0,15,0,3,31,15,2,23,9,0,0,0.0,0.0,49,0,49,15,4484.0,GA,6512602,160.07999999999998,27561
128,1990,13,35,13788.387765931202,10308.0,281,25,4,0,125,125,54,1,214,7,45,44,59,7,202,42,0,0,0.0,0.0,310,0,310,214,10308.0,GA,6512602,160.07999999999998,27561
129,1990,13,37,788.9355294953101,711.0,10,7,0,0,12,4,0,0,4,0,5,8,4,0,8,5,0,0,0.0,0.0,17,0,17,4,711.0,GA,6512602,160.07999999999998,27561
130,1990,13,39,14757.4211798124,12027.0,142,30,110,0,143,91,11,7,150,0,33,99,4,11,128,139,0,0,0.0,0.0,282,0,282,150,12027.0,GA,6512602,160.07999999999998,27561
131,1990,13,41,317.290352996873,248.0,3,2,0,0,2,0,2,0,0,0,0,5,0,0,4,1,0,0,0.0,0.0,5,0,5,0,248.0,GA,6512602,160.07999999999998,27561
132,1990,13,43,1071.29035299687,1346.0,17,9,1,0,13,1,13,0,16,0,5,6,2,0,18,7,0,0,0.0,0.0,27,0,27,16,1346.0,GA,6512602,160.07999999999998,27561
133,1990,13,45,8470.77458895936,12453.0,115,81,6,0,141,28,31,0,129,3,19,51,21,4,146,31,0,0,0.0,0.0,202,0,202,129,12453.0,GA,6512602,160.07999999999998,27561
134,1990,13,47,62469.0362425906,73293.9126383121,976,269,94,0,716,363,249,5,845,27,143,324,7,14,1065,253,0,0,0.0,0.0,1339,0,1339,845,73293.9126383121,GA,6512602,160.07999999999998,27561
135,1990,13,49,913.516235489057,556.0,14,5,2,0,11,9,1,0,10,2,2,7,2,0,8,11,1,0,4.0,0.0,21,0,20,10,552.0,GA,6512602,160.07999999999998,27561
136,1990,13,51,196649.364252532,224365.0,1881,1110,499,0,2523,511,412,13,2080,22,419,969,508,78,2120,784,0,0,0.0,0.0,3490,0,3490,2080,224365.0,GA,6512602,160.07999999999998,27561
137,1990,13,52,78.6451764984367,149.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,1,0,1,1,149.0,GA,6512602,160.07999999999998,27561
