,year,state,race,sex,age,state_fips,population
20856,1989,MI,2,2,2,10790,199982
20857,1989,MI,2,2,3,10452,148066
20858,1989,MI,2,2,4,9854,83270
20859,1989,MI,2,2,5,13780,68620
20860,1989,MN,1,1,1,11745,606828
20861,1989,MN,1,1,2,7047,520047
20862,1989,MN,1,1,3,7047,420781
20863,1989,MN,1,1,4,7047,254172
20864,1989,MN,1,1,5,11745,216227
20865,1989,MN,1,2,1,11745,578085
20866,1989,MN,1,2,2,7047,522432
20867,1989,MN,1,2,3,7047,419098
20868,1989,MN,1,2,4,7047,266068
20869,1989,MN,1,2,5,11745,317913
20870,1989,MN,2,1,1,18063,49083
20871,1989,MN,2,1,2,10395,31054
20872,1989,MN,2,1,3,9666,17897
20873,1989,MN,2,1,4,7479,6821
20874,1989,MN,2,1,5,7398,3258
20875,1989,MN,2,2,1,17955,49406
20876,1989,MN,2,2,2,9612,30038
20877,1989,MN,2,2,3,9045,17072
20878,1989,MN,2,2,4,7479,7379
20879,1989,MN,2,2,5,7830,4377
20880,1989,MO,1,1,1,16675,642382
20881,1989,MO,1,1,2,10005,531023
20882,1989,MO,1,1,3,10005,435290
20883,1989,MO,1,1,4,10005,303185
20884,1989,MO,1,1,5,16675,258547
20885,1989,MO,1,2,1,16675,610224
20886,1989,MO,1,2,2,10005,533852
20887,1989,MO,1,2,3,10005,447529
20888,1989,MO,1,2,4,10005,328499
20889,1989,MO,1,2,5,16675,398985
20890,1989,MO,2,1,1,24302,111239
20891,1989,MO,2,1,2,15370,75208
20892,1989,MO,2,1,3,14964,48250
20893,1989,MO,2,1,4,13920,28541
20894,1989,MO,2,1,5,16675,20109
20895,1989,MO,2,2,1,23809,109068
20896,1989,MO,2,2,2,14993,84804
20897,1989,MO,2,2,3,15370,59738
20898,1989,MO,2,2,4,14413,37145
20899,1989,MO,2,2,5,18473,32215
20900,1989,MS,1,1,1,11480,239050
20901,1989,MS,1,1,2,6888,192377
20902,1989,MS,1,1,3,6888,162139
20903,1989,MS,1,1,4,6888,116451
20904,1989,MS,1,1,5,11480,88813
20905,1989,MS,1,2,1,11480,224264
20906,1989,MS,1,2,2,6888,187576
20907,1989,MS,1,2,3,6888,164107
20908,1989,MS,1,2,4,6888,127133
20909,1989,MS,1,2,5,11480,137592
20910,1989,MS,2,1,1,20020,194731
20911,1989,MS,2,1,2,12040,102113
20912,1989,MS,2,1,3,12292,64560
20913,1989,MS,2,1,4,11536,35877
20914,1989,MS,2,1,5,15428,36206
20915,1989,MS,2,2,1,20104,193331
20916,1989,MS,2,2,2,12432,124170
20917,1989,MS,2,2,3,12572,78508
20918,1989,MS,2,2,4,12040,49910
20919,1989,MS,2,2,5,16996,55398
20920,1989,MT,1,1,1,8400,114834
20921,1989,MT,1,1,2,5040,80207
20922,1989,MT,1,1,3,5040,80367
20923,1989,MT,1,1,4,5040,49713
20924,1989,MT,1,1,5,8400,44248
20925,1989,MT,1,2,1,8400,108189
20926,1989,MT,1,2,2,5040,80970
20927,1989,MT,1,2,3,5040,77900
20928,1989,MT,1,2,4,5040,50788
20929,1989,MT,1,2,5,8400,58203
20930,1989,MT,2,1,1,9300,12554
20931,1989,MT,2,1,2,5670,6847
20932,1989,MT,2,1,3,5520,4324
20933,1989,MT,2,1,4,4230,2053
20934,1989,MT,2,1,5,4770,1078
20935,1989,MT,2,2,1,9210,12003
20936,1989,MT,2,2,2,5130,7010
20937,1989,MT,2,2,3,5340,4533
20938,1989,MT,2,2,4,4470,2441
20939,1989,MT,2,2,5,5340,1395
20940,1989,NC,1,1,1,18500,658740
20941,1989,NC,1,1,2,11100,656185
20942,1989,NC,1,1,3,11100,525745
20943,1989,NC,1,1,4,11100,349748
20944,1989,NC,1,1,5,18500,252961
20945,1989,NC,1,2,1,18500,622493
20946,1989,NC,1,2,2,11100,617417
20947,1989,NC,1,2,3,11100,532210
20948,1989,NC,1,2,4,11100,384995
20949,1989,NC,1,2,5,18500,390792
20950,1989,NC,2,1,1,34225,279896
20951,1989,NC,2,1,2,21386,202961
20952,1989,NC,2,1,3,20979,132544
20953,1989,NC,2,1,4,20202,71033
20954,1989,NC,2,1,5,28083,53168
20955,1989,NC,2,2,1,34336,275470
20956,1989,NC,2,2,2,21090,222734
20957,1989,NC,2,2,3,21534,155439
20958,1989,NC,2,2,4,20905,92522
20959,1989,NC,2,2,5,30377,88493
20960,1989,ND,1,1,1,10070,95061
20961,1989,ND,1,1,2,6042,76149
20962,1989,ND,1,1,3,6042,58231
20963,1989,ND,1,1,4,6042,38552
20964,1989,ND,1,1,5,10070,38071
20965,1989,ND,1,2,1,10070,89538
20966,1989,ND,1,2,2,6042,71642
20967,1989,ND,1,2,3,6042,54843
20968,1989,ND,1,2,4,6042,40294
20969,1989,ND,1,2,5,10032,51235
20970,1989,ND,2,1,1,9918,8052
20971,1989,ND,2,1,2,5434,4526
20972,1989,ND,2,1,3,5016,2287
20973,1989,ND,2,1,4,3610,985
20974,1989,ND,2,1,5,3648,482
20975,1989,ND,2,2,1,9272,7399
20976,1989,ND,2,2,2,5662,4612
20977,1989,ND,2,2,3,5320,2535
20978,1989,ND,2,2,4,3914,1200
20979,1989,ND,2,2,5,4104,665
20980,1989,NE,1,1,1,14415,227047
20981,1989,NE,1,1,2,8649,175038
20982,1989,NE,1,1,3,8649,143692
20983,1989,NE,1,1,4,8649,95399
20984,1989,NE,1,1,5,14415,86830
20985,1989,NE,1,2,1,14415,216570
20986,1989,NE,1,2,2,8649,173332
20987,1989,NE,1,2,3,8649,143594
20988,1989,NE,1,2,4,8649,101531
20989,1989,NE,1,2,5,14415,130278
20990,1989,NE,2,1,1,12989,17053
